Lineage ID	Frequency  Day 0	Frequency  Day 3	Frequency  Day 6	Frequency  Day 9	Afatinib  response  group
bc14-022:bc30-059265	0.129785853341986	#N/A	0.212314225053079	#N/A	Sensitive
bc14-022:bc30-063862	#N/A	#N/A	#N/A	#N/A	Tolerant
bc14-022:bc30-067450	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-022:bc30-098837	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-029:bc30-001138	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-029:bc30-001504	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-029:bc30-002160	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-029:bc30-005813	0.194678780012979	0.208768267223382	0.212314225053079	#N/A	Sensitive
bc14-029:bc30-018914	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-029:bc30-022186	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-029:bc30-052996	0.194678780012979	#N/A	#N/A	#N/A	Tolerant
bc14-029:bc30-072575	0.0648929266709929	0.417536534446764	#N/A	#N/A	Sensitive
bc14-029:bc30-076836	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-029:bc30-078747	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-029:bc30-091740	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-030:bc30-014189	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-030:bc30-079766	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-032:bc30-088851	0.129785853341986	0.208768267223382	#N/A	#N/A	Sensitive
bc14-033:bc30-023722	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-033:bc30-036686	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-033:bc30-088008	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-034:bc30-025803	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-034:bc30-065305	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-034:bc30-067943	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-034:bc30-088466	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-034:bc30-094912	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-036:bc30-011076	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-036:bc30-013232	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-036:bc30-033544	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-036:bc30-043462	0.259571706683971	#N/A	#N/A	#N/A	Sensitive
bc14-036:bc30-045775	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-036:bc30-055776	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-036:bc30-055997	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-036:bc30-072252	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-036:bc30-074269	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-006301	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-009106	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-009931	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-015631	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-018534	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-037:bc30-033005	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-034693	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-038326	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-039971	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-037:bc30-047211	0.129785853341986	#N/A	#N/A	#N/A	Tolerant
bc14-037:bc30-048607	0.0648929266709929	#N/A	0.106157112526539	#N/A	Sensitive
bc14-037:bc30-064907	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-065837	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-078298	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-037:bc30-080081	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
