cluster	gene
Ductal cell CEACAM6	S100A6
Ductal cell CEACAM6	CD59
Ductal cell CEACAM6	CD24
Ductal cell CEACAM6	EPS8
Ductal cell CEACAM6	CAST
Ductal cell CEACAM6	DSG2
Ductal cell CEACAM6	SLC6A8
Ductal cell CEACAM6	TINAGL1
Ductal cell CEACAM6	VEGFA
Ductal cell CEACAM6	LCN2
Ductal cell CEACAM6	ANXA1
Ductal cell CEACAM6	UCA1
Ductal cell CEACAM6	TSC22D1
Ductal cell CEACAM6	PARD6B
Ductal cell CEACAM6	SPINT2
Ductal cell CEACAM6	CHMP2B
Ductal cell CEACAM6	RAB11FIP1
Ductal cell CEACAM6	ITGA6
Ductal cell CEACAM6	F2RL1
Ductal cell CEACAM6	LIPH
Ductal cell CEACAM6	FOSL1
Ductal cell CEACAM6	BCL2L1
Ductal cell CEACAM6	SH3BGRL3
Ductal cell CEACAM6	ISG20
Ductal cell CEACAM6	CD2AP
Ductal cell CEACAM6	ANXA3
Ductal cell CEACAM6	KLK10
Ductal cell CEACAM6	MACC1
Ductal cell CEACAM6	BZW1
Ductal cell CEACAM6	CLDN7
Ductal cell CEACAM6	PLS1
Ductal cell CEACAM6	SPINT1
Ductal cell CEACAM6	HRASLS2
Ductal cell CEACAM6	SERINC2
Ductal cell CEACAM6	YOD1
Ductal cell CEACAM6	SLPI
Ductal cell CEACAM6	CDKN1A
Ductal cell CEACAM6	TRIB1
Ductal cell CEACAM6	CDH1
Ductal cell CEACAM6	DSP
Ductal cell CEACAM6	ERRFI1
Ductal cell CEACAM6	RHPN2
Ductal cell CEACAM6	TSPAN3
Ductal cell CEACAM6	GALNT5
Ductal cell CEACAM6	FGFBP1
Ductal cell CEACAM6	S100P
Ductal cell CEACAM6	YWHAZ
Ductal cell CEACAM6	CCND1
Ductal cell CEACAM6	BMP2
Ductal cell CEACAM6	SMIM6
Ductal cell CEACAM6	MGLL
Ductal cell CEACAM6	SBDS
Ductal cell CEACAM6	EGLN3
Ductal cell CEACAM6	ANXA2
Ductal cell CEACAM6	RND3
Ductal cell CEACAM6	FAM3C
Ductal cell CEACAM6	PLA2G16
Ductal cell CEACAM6	QSOX1
Ductal cell CEACAM6	VNN1
Ductal cell CEACAM6	PHLDA2
Ductal cell CEACAM6	ATP1B1
Ductal cell CEACAM6	KLF4
Ductal cell CEACAM6	AHNAK
Ductal cell CEACAM6	S100A11
Ductal cell CEACAM6	SFN
Ductal cell CEACAM6	SQSTM1
Ductal cell CEACAM6	ST14
Ductal cell CEACAM6	PDZK1IP1
Ductal cell CEACAM6	SLC20A1
Ductal cell CEACAM6	TMEM45B
Ductal cell CEACAM6	FXYD3
Ductal cell CEACAM6	S100A16
Ductal cell CEACAM6	MUC17
Ductal cell CEACAM6	SDR16C5
Ductal cell CEACAM6	DKK1
Ductal cell CEACAM6	C4orf3
Ductal cell CEACAM6	S100A10
Ductal cell CEACAM6	MALAT1
Ductal cell CEACAM6	TSPAN1
Ductal cell CEACAM6	CTSE
Ductal cell CEACAM6	S100A2
Ductal cell CEACAM6	MUCL3
Ductal cell CEACAM6	PGK1
Ductal cell CEACAM6	MIDN
Ductal cell CEACAM6	TM4SF4
Ductal cell CEACAM6	CXCL5
Ductal cell CEACAM6	LRRFIP1
Ductal cell CEACAM6	LDHA
Ductal cell CEACAM6	ACTG1
Ductal cell CEACAM6	TMSB10
Ductal cell CEACAM6	VDAC2
Ductal cell CEACAM6	AKAP12
Ductal cell CEACAM6	IER3
